userId,blockNum,stimulusNum,distance,correct,selection
1,1,1,0.24522845,0,3
1,1,2,0.236704496,1,2
1,1,3,0.311407463,1,4
1,1,4,0.289981833,0,1
1,1,5,0.34936936,0,2
1,1,6,0.340860666,1,1
1,1,7,0.250438623,1,4
1,1,8,0.119429103,1,2
1,1,9,0.229154121,1,3
1,1,10,0.207966921,1,3
1,1,11,0.327750705,1,2
1,1,12,0.309955246,1,4
1,1,13,0.192404948,1,2
1,1,14,0.106030769,1,4
1,1,15,0.24430701,0,2
1,1,16,0.196942976,1,1
1,1,17,0.30365643,1,4
1,1,18,0.266968154,1,1
1,1,19,0.13868599,1,4
1,1,20,0.154601878,1,1
1,1,21,0.290805839,1,2
1,1,22,0.15926099,1,3
1,1,23,0.204251564,1,4
1,1,24,0.126837494,0,1
1,2,25,0.132038877,1,4
1,2,26,0.245340551,1,1
1,2,27,0.119356233,1,1
1,2,28,0.152960766,1,4
1,2,29,0.310788823,1,2
1,2,30,0.280751845,0,2
1,2,31,0.305382972,1,2
1,2,32,0.26209998,1,2
1,2,33,0.121122808,1,3
1,2,34,0.309745986,0,2
1,2,35,0.115532057,1,4
1,2,36,0.211337043,1,3
1,2,37,0.23029786,0,2
1,2,38,0.238249749,1,1
1,2,39,0.314145799,1,1
1,2,40,0.201277383,1,2
1,2,41,0.155348209,1,4
1,2,42,0.345937056,0,1
1,2,43,0.342160202,1,4
1,2,44,0.233756866,1,2
1,2,45,0.252751716,0,2
1,2,46,0.282418982,1,1
1,2,47,0.198270918,1,3
1,2,48,0.19287965,1,1
1,3,49,0.208549138,1,3
1,3,50,0.267830092,0,3
1,3,51,0.15314661,1,1
1,3,52,0.316259979,1,4
1,3,53,0.167463527,1,1
1,3,54,0.219887022,1,2
1,3,55,0.23523509,1,2
1,3,56,0.128762815,0,2
1,3,57,0.112130348,1,2
1,3,58,0.291399828,1,4
1,3,59,0.241407719,1,2
1,3,60,0.262560548,1,3
1,3,61,0.327115396,1,4
1,3,62,0.334045437,1,2
1,3,63,0.292838071,1,1
1,3,64,0.190271307,1,3
1,3,65,0.236692769,1,4
1,3,66,0.333227061,1,4
1,3,67,0.284578384,1,3
1,3,68,0.183998863,1,2
1,3,69,0.239777181,1,4
1,3,70,0.111679259,1,2
1,3,71,0.136153456,1,4
1,3,72,0.300236075,1,4
1,4,73,0.116775648,1,3
1,4,74,0.121638861,1,1
1,4,75,0.302578744,0,1
1,4,76,0.338703846,1,1
1,4,77,0.210977653,1,4
1,4,78,0.257846631,0,3
1,4,79,0.123564469,0,1
1,4,80,0.233087396,1,3
1,4,81,0.232357375,1,3
1,4,82,0.213415051,1,2
1,4,83,0.337505126,0,1
1,4,84,0.252063235,0,3
1,4,85,0.183152685,1,4
1,4,86,0.184298453,1,2
1,4,87,0.239515984,1,4
1,4,88,0.289902985,0,2
1,4,89,0.325403173,1,1
1,4,90,0.294633262,1,1
1,4,91,0.163416139,1,3
1,4,92,0.243880353,0,2
1,4,93,0.101036257,1,4
1,4,94,0.295019699,1,4
1,4,95,0.320292013,0,4
